实体名,谷歌,百度,有道
"    ""SKR Petya II Mod [Pr.159A] - 1979, 1x ship, SKR-98, Ox Yoke + Ox Tail"",","SKR Petya II Mod [Pr.159A] - 1979，1 艘船，SKR-98，牛轭 + 牛尾,","    ""SKR Petya II第159A-1979版，1艘舰船，SKR-98，牛轭+牛尾"",","SKR?Petya?II?Mod.159A]?-?1979,?1艘船，SKR-98，牛轭+牛尾,   "
"    ""SKR Petya II [Pr.159A] - 1964"",","SKR Petya II [Pr.159A] - 1964,","    ""SKR Petya II Pr.159A-1964"",","SKR?Petya?II?[Pr.159?-?1964,   "
"    ""SKR Petya II [Pr.159A] - 1969"",","SKR Petya II [Pr.159A] - 1969,","    ""SKR Petya II Pr.159A-1969"",","SKR?Petya?II?[Pr.159?-?1969,   "
"    ""SKR Petya III [Pr.159AE] - 1973, Radar Picket"",","SKR Petya III [Pr.159AE] - 1973，雷达纠察队,","    ""SKR Petya III Pr.159AE-1973，雷达警戒"",","SKR?Petya?III?[Pr.1973年，“雷达纠察,   "
"    ""SKR Petya III [Pr.159AE] - 1992"",","SKR Petya III [Pr.159AE] - 1992,","    ""SKR Petya III Pr.159AE-1992"",","SKR?Petya?III?[Pr.159?ae?-?1992,   "
"    ""SKR Riga Mod - 1958"",","SKR 里加 Mod - 1958,","    ""SKR里加Mod-1958"",","SKR里加Mod?-?1958,   "
"    ""SKR Riga Mod [Pr.50 Gornostay] - 1960"",","SKR Riga Mod [Pr.50 Gornostay] - 1960,","    ""SKR里加国防部50戈尔诺斯泰-1960"",","SKR?Riga?Mod?[Pr.戈尔诺斯特[1960年]“,   "
"    ""SKR Riga [Pr.50 Gornostay] - 1954"",","SKR 里加 [Pr.50 Gornostay] - 1954,","    ""SKR里加Pr.50戈尔诺斯泰-1954年"",","SKR里加(公关.戈尔诺斯特[1954年],   "
"    ""SKR Riga [Pr.50 Gornostay] - 1972"",","SKR 里加 [Pr.50 Gornostay] - 1972,","    ""SKR里加Pr.50戈尔诺斯泰-1972"",","SKR里加(公关.戈尔诺斯特)——1972年,   "
"    ""SKa 16B Forward Looking Camera (Sweden, Draken)"",","SKa 16B 前视摄像机（瑞典，德雷肯）,","    ""SKa 16B前视摄像头（瑞典，德拉肯）"",","SKa?16B前瞻相机(瑞典，德拉肯),   "
"    ""SKa 24-100 Side Looking Camera (Sweden, Draken)"",","SKa 24-100 侧视相机（瑞典，德雷肯）,","    ""SKa 24-100侧视照相机（瑞典，德拉肯）"",","SKa?24-100侧视相机(瑞典，德拉肯),   "
"    ""SKa 24-600 Long Focal Length Camera (Sweden, Draken)"",","SKa 24-600 长焦距相机（瑞典，德拉肯）,","    ""SKa 24-600长焦距照相机（瑞典，德拉肯）"",","SKa?24-600长焦距相机(瑞典，德拉肯),   "
"    ""SKa 24C Camera [120mm Low-Altitude] (Sweden, Viggen)"",","SKa 24C 相机 [120mm 低空]（瑞典，维根）,","    ""SKa 24C摄像机120mm低空（瑞典，维根）"",","SKa?24C相机[120mm低空](瑞典，维根),   "
"    ""SKa 24C Camera [57mm Long-Range] (Sweden, Viggen)"",","SKa 24C 相机 [57 毫米长距离]（瑞典，维根）,","    ""SKa 24C相机57毫米长射程（瑞典，维根）"",","SKa?24C相机[57mm长程](瑞典，维根),   "
"    ""SKa 24D Camera [600mm Long-Range] (Sweden, Viggen)"",","SKa 24D 相机 [600 毫米远程]（瑞典，维根）,","    ""SKa 24D摄像机600毫米长射程（瑞典，维根）"",","SKa?24D相机[600mm长程](瑞典，维根),   "
"    ""SKa 31 Camera [600mm High-Alt] (Sweden, Viggen)"",","SKa 31 相机 [600 毫米高-Alt]（瑞典，维根）,","    ""SKa 31摄像机600毫米高高度（瑞典，维根）"",","SKa?31相机[600mm?High-Alt](瑞典维根),   "
"    ""SLAR (Rafael Recce Pod)"",","SLAR (Rafael Recce Pod),","    ""SLAR（拉斐尔回收吊舱）"",","SLAR?(Rafael?Recce?Pod),   "
"    ""SLAR (Tu-22MR)"",","SLAR (Tu-22MR),","    ""SLAR（Tu-22MR）"",","SLAR?(Tu-22MR)可以,   "
"    ""SLAR [Igla-1] (Il-20M)"",","SLAR [Igla-1] (Il-20M),","    ""SLAR Igla-1（Il-20M）"",","SLAR?Igla-1?(Il-20M)”可以,,   "
"    ""SLAR [Kub-3M] (MiG-25, NATO Name?)"",","SLAR [Kub-3M]（MiG-25，北约名称？）,","    ""斯拉尔Kub-3M（米格-25，北约名称？）"",","SLAR?[Kub-3M](米格-25，北约名称?),   "
"    ""SLAR [RDS-BO Shtik] (Su-24MR)"",","SLAR [RDS-BO Shtik] (Su-24MR),","    ""SLAR RDS-BO Shtik（Su-24MR）"",","SLAR?[RDS-BO?Shtik]?(Su-24MR),   "
"    ""SLAR [Tompol] (MiG-25, NATO Name?)"",","SLAR [Tompol]（MiG-25，北约名称？）,","    ""SLAR Tompol（米格-25，北约名称？）"",","SLAR?[Tompol](米格-25，北约名称?),   "
"    ""SLAR [Virazh] (MiG-25, NATO Name?)"",","SLAR [Virazh]（MiG-25，北约名称？）,","    ""斯拉尔·维拉什（米格-25，北约名称？）"",","SLAR?[Virazh](米格-25，北约名称?),   "
"    ""SLIR"",","SLIR,","    ""斯莱尔"",","SLIR,   "
"    ""SLOS Visual Observation System (Stabilised Long Range Observation System)"",","SLOS视觉观测系统（稳定远程观测系统）,","    ""SLOS目视观测系统（稳定远程观测系统）"",","SLOS视觉观测系统(稳定远程观测系统),   "
"    ""SLR-736E (Seal, Assoc w Nettuno 4100 jammer)"",","SLR-736E (Seal, Assoc w Nettuno 4100 干扰器),","    ""SLR-736E（密封，与Nettuno 4100干扰机相关）"",","SLR-736E(密封，Assoc?w?Nettuno?4100干扰机),   "
"    ""SM-62A Snark (1959-1961)"",","SM-62A Snark (1959-1961),","    ""SM-62A斯纳克（1959-1961）"",","sm?-?62?a蛇鲨(1959?-?1961),   "
"    ""SM.39 Exocet Blk I (1986)"",","SM.39 Exocet Blk I (1986),","    ""SM39埃克塞特一号楼（1986年）"",","SM.39飞鱼第I座(1986),   "
"    ""SM.39 Exocet Blk II (1995)"",","SM.39 Exocet Blk II (1995),","    ""SM39 Exocet Blk II（1995年）"",","SM.39?Exocet?block?II(1995),   "
"    ""SMART-L (1997, VSR)"",","SMART-L (1997, VSR),","    ""SMART-L（1997年，VSR）"",","SMART-L?(VSR)?1997年,   "
"    ""SMART-L ELR (2006, VSR)"",","SMART-L ELR (2006, VSR),","    ""SMART-L ELR（2006年，VSR）"",","smart-l?elr?(2006,?vsr),   "
"    ""SMART-L EWC [BMD Mod] (2015)"",","SMART-L EWC [BMD Mod] (2015),","    ""SMART-L EWC BMD模块（2015年）"",","SMART-L?EWC?[BMD?Mod](2015),   "
"    ""SMART-S"",","SMART-S,","    ""SMART-S"",","SMART-S,   "
"    ""SMART-S Mk2"",","SMART-S Mk2,","    ""SMART-S Mk2"",","SMART-S?Mk2型,   "
"    ""SMB 1006 Fantome - 1992, 9x, Survey Motor Boat"",","SMB 1006 Fantome - 1992，9x，调查摩托艇,","    ""SMB 1006 Fantome-1992，9x，测量摩托艇"",","SMB?1006?Fantome?-?1992,?9x，测量摩托艇,   "
"    ""SNA-2000/I (Acoustic Intercept Element)"",","SNA-2000/I（声学拦截元件）,","    ""SNA-2000/I（声学拦截元件）"",","SNA-2000/I(声学拦截元件),   "
"    ""SNA-2000/I (Mine Avoidance Element)"",","SNA-2000/I（避雷元素）,","    ""SNA-2000/I（防雷元件）"",","SNA-2000/I(避雷单元),   "
"    ""SNB-1 Kansan - 1996, 1x"",","SNB-1 Kansan - 1996, 1x,","    ""堪萨斯州SNB-1-1996，1x"",","SNB-1?kansas?-?1996,?1x,   "
"    ""SNEB 100mm Rocket "",","SNEB 100 毫米火箭,","    ""SNEB 100毫米火箭"",","SNEB?100mm火箭,   "
"    ""SNEB 68mm Rocket (TDA 68mm, TBA 68 mm)"",","SNEB 68 毫米火箭（TDA 68 毫米，TBA 68 毫米）,","    ""SNEB 68毫米火箭（TDA 68毫米，TBA 68毫米）"",","SNEB?68mm?Rocket?(TDA?68mm,?TBA?68mm),   "
"    ""SNEB 81mm Rocket "",","SNEB 81 毫米火箭,","    ""81毫米火箭"",","SNEB?81mm火箭,   "
"    ""SNORA 81mm Rocket (Switzerland, 19xx-1998)"",","SNORA 81 毫米火箭（瑞士，19xx-1998）,","    ""SNORA 81毫米火箭（瑞士，19xx-1998）"",","SNORA?81mm火箭(瑞士，19xx-1998),   "
"    ""SNW-41 (Marconi)"",","SNW-41 (马可尼),","    ""SNW-41（马可尼）"",","SNW-41(马可尼),   "
"    ""SO 29 Tayrona [Type 209-1200] - 1975"",","SO 29 泰罗纳 [209-1200 型] - 1975,","    ""SO 29 Tayrona 209-1200型-1975"",","SO?29?Tayrona[209-1200型]-?1975,   "
"    ""SOC-1 Seagull - 1935"",","SOC-1 海鸥 - 1935,","    ""SOC-1海鸥-1935"",","SOC-1海鸥-?1935,   "
"    ""SOC-R - 2003, Special Operations Craft-Riverine"",","SOC-R - 2003，特种作战工艺-河滨,","    ""SOC-R-2003，河上特种作战艇"",","SOC-R?-?2003，特种作战工艺-河流,   "
"    ""SOM-A (Turkey, 2015)"",","SOM-A（土耳其，2015 年）,","    ""SOM-A（土耳其，2015年）"",","SOM-A(土耳其,2015),   "
"    ""SOM-B1 [HE] (Turkey, 2015 HE)"",","SOM-B1 [HE] (土耳其, 2015 HE),","    ""SOM-B1 HE（土耳其，2015 HE）"",","SOM-B1?[HE](土耳其，2015?HE),   "
"    ""SOM-B2 [Penetrator] (Turkey, 2015 Penetrator)"",","SOM-B2 [Penetrator] (土耳其, 2015 Penetrator),","    ""SOM-B2穿甲弹（土耳其，2015年穿甲弹）"",","SOM-B2[渗透器](土耳其，2015年渗透器),   "
"    ""SOM-C [Anti-Ship] (Turkey, 2015 Anti-Ship)"",","SOM-C [Anti-Ship]（土耳其，2015 Anti-Ship）,","    ""SOM-C反舰导弹（土耳其，2015年反舰导弹）"",","somc[反舰](土耳其，2015反舰),   "
"    ""SOM-J (Turkey, 2019)"",","SOM-J（土耳其，2019 年）,","    ""SOM-J（土耳其，2019年）"",","SOM-J(土耳其,2019),   "
"    ""SONAC DTS [TASS/VDS]"",","SONAC DTS [TASS/VDS],","    ""索纳克DTS塔斯/VDS"",","SONAC?DTS(塔/?VDS公司),   "
"    ""SP-2E (P2V-5) Neptune - 1969"",","SP-2E (P2V-5) 海王星 - 1969,","    ""SP-2E（P2V-5）海王星-1969"",","SP-2E?(P2V-5)海王星-?1969,   "
"    ""SP-2E (P2V-5FS) Neptune - 1958"",","SP-2E (P2V-5FS) 海王星 - 1958,","    ""SP-2E（P2V-5FS）海王星-1958"",","SP-2E?(P2V-5FS)海王星-?1958,   "
"    ""SP-2E (P2V-5FS) Neptune - 1963"",","SP-2E (P2V-5FS) 海王星 - 1963,","    ""SP-2E（P2V-5FS）海王星-1963"",","SP-2E?(P2V-5FS)海王星-?1963,   "
"    ""SP-2H (P2V-7) Neptune - 1957"",","SP-2H (P2V-7) 海王星 - 1957,","    ""SP-2H（P2V-7）海王星-1957"",","SP-2H?(P2V-7)海王星-?1957,   "
"    ""SP-2H (P2V-7) Neptune - 1963"",","SP-2H (P2V-7) 海王星 - 1963,","    ""SP-2H（P2V-7）海王星-1963"",","SP-2H?(P2V-7)海王星-?1963,   "
"    ""SP-2H (P2V-7) Neptune - 1969"",","SP-2H (P2V-7) 海王星 - 1969,","    ""SP-2H（P2V-7）海王星-1969"",","SP-2H?(P2V-7)海王星-?1969,   "
"    ""SP-2H (P2V-7S) Neptune - 1962"",","SP-2H (P2V-7S) 海王星 - 1962,","    ""SP-2H（P2V-7S）海王星-1962"",","SP-2H?(P2V-7S)海王星-?1962,   "
"    ""SP-2H (P2V-7S) Neptune - 1969"",","SP-2H (P2V-7S) 海王星 - 1969,","    ""SP-2H（P2V-7S）海王星-1969"",","SP-2H?(P2V-7S)海王星-?1969,   "
"    ""SP-5B Marlin - 1950"",","SP-5B 马林鱼 - 1950,","    ""SP-5B马林鱼——1950年"",","SP-5B马林-?1950,   "
"    ""SP-5B Marlin - 1958"",","SP-5B 马林鱼 - 1958,","    ""SP-5B马林鱼-1958年"",","SP-5B马林-?1958,   "
"    ""SP-5B Marlin - 1959"",","SP-5B 马林鱼 - 1959,","    ""SP-5B马林鱼-1959年"",","SP-5B马林-?1959,   "
"    ""SP-5B Marlin - 1962"",","SP-5B 马林鱼 - 1962,","    ""SP-5B马林鱼——1962年"",","SP-5B马林-?1962,   "
"    ""SP-5B Marlin - 1967"",","SP-5B 马林鱼 - 1967,","    ""SP-5B马林鱼——1967年"",","SP-5B马林1967,   "
"    ""SPEAR 3 (2019)"",","SPEAR 3 (2019),","    ""斯皮尔3号（2019年）"",","矛3(2019),   "
"    ""SPEAR EW (2021, Jammer Decoy)"",","SPEAR EW（2021，干扰器诱饵）,","    ""矛式电子战（2021年，干扰机诱饵）"",","SPEAR?EW(2021，干扰机诱饵),   "
"    ""SPEAR EW (DRFM) (Digital Radio Frequency Memory)"",","SPEAR EW (DRFM)（数字射频存储器）,","    ""矛式电子战（DRFM）（数字射频存储器）"",","数字无线电频率存储器,   "
"    ""SPEAR EW (ESM) (Precise Emitter ID)"",","SPEAR EW (ESM)（精确的发射器 ID）,","    ""矛式电子战（ESM）（精确发射器ID）"",","SPEAR?EW?(ESM)?(Precise?Emitter?ID),   "
"    ""SPEAR EW (OECM) (OECM)"",","矛电子战（OECM）（OECM）,","    ""矛式电子战（OECM）（OECM）"",","矛ew?(oecm)?(oecm),   "
"    ""SPECOP Laser Designator"",","SPECOP 激光指示器,","    ""SPECOP激光指示器"",","SPECOP激光指示器,   "
"    ""SPECTRA [DECM, F1 Std]"",","光谱 [DECM，F1 标准],","    ""光谱DECM，F1标准"",","谱[DECM,?F1?Std],   "
"    ""SPECTRA [DECM, F2 Std]"",","光谱 [DECM，F2 标准],","    ""光谱DECM，F2标准"",","谱[DECM,?F2?Std],   "
"    ""SPECTRA [DECM, F3 Std]"",","光谱 [DECM，F3 标准],","    ""光谱DECM，F3标准"",","谱[DECM,?F3标准],   "
"    ""SPECTRA [DECM, F3.4 Std]"",","光谱 [DECM, F3.4 标准],","    ""光谱DECM，F3。4标准"",","谱[DECM,?F3.4?Std],   "
"    ""SPECTRA [DECM, F3R Std]"",","光谱 [DECM，F3R 标准],","    ""光谱DECM，F3R标准"",","谱[DECM,?F3R标准],   "
"    ""SPECTRA [LWR, F1 Std]"",","光谱 [LWR，F1 标准],","    ""光谱LWR，F1标准"",","光谱[LWR,?F1标准],   "
"    ""SPECTRA [LWR, F2 Std]"",","光谱 [LWR，F2 标准],","    ""光谱LWR，F2标准"",","谱[LWR,?F2标准],   "
"    ""SPECTRA [LWR, F3 Std]"",","光谱 [LWR，F3 标准],","    ""光谱LWR，F3标准"",","光谱[LWR,?F3标准],   "
"    ""SPECTRA [LWR, F3.4 Std]"",","光谱 [LWR，F3.4 标准],","    ""光谱LWR，F3。4标准"",","光谱[LWR,?F3.4标准],   "
"    ""SPECTRA [LWR, F3R Std]"",","光谱 [LWR，F3R 标准],","    ""光谱LWR，F3R标准"",","光谱[LWR,?F3R标准],   "
"    ""SPECTRA [RWR/ELINT, F2 Std]"",","光谱 [RWR/ELINT，F2 标准],","    ""光谱RWR/ELINT，F2标准"",","谱[RWR/ELINT,?F2?Std],   "
"    ""SPECTRA [RWR/ELINT, F3 Std]"",","光谱 [RWR/ELINT，F3 标准],","    ""光谱RWR/ELINT，F3标准"",","光谱[RWR/ELINT,?F3?Std],   "
"    ""SPECTRA [RWR/ELINT, F3.4 Std]"",","光谱 [RWR/ELINT，F3.4 标准],","    ""光谱RWR/ELINT，F3。4标准"",","光谱[RWR/ELINT,?F3.4?Std],   "
"    ""SPECTRA [RWR/ELINT, F3R Std]"",","光谱 [RWR/ELINT，F3R 标准],","    ""光谱RWR/ELINT，F3R标准"",","谱[RWR/ELINT,?F3R?Std],   "
"    ""SPECTRO XR [IR/LLTV/Laser Designator]"",","SPECTRO XR [IR/LLTV/激光指示器],","    ""SPECTRO XR IR/LLTV/激光指示器"",","SPECTRO?XR?[IR/LLTV/激光指示器],   "
"    ""SPECTRO XR [IR]"",","斯派克 XR [红外],","    ""光谱XR IR"",","斯派克XR?(IR),   "
"    ""SPECTRO XR [LLTV]"",","SPECTRO XR [LLTV],","    ""SPECTRO XR LLTV"",","斯派克XR?LLTV,   "
"    ""SPECTRO XR [Laser Designator/Rangefinder]"",","SPECTRO XR [激光指示器/测距仪],","    ""SPECTRO XR激光指示器/测距仪"",","SPECTRO?XR[激光指示器/测距仪],   "
"    ""SPECTRO XR [Laser Spot Tracker]"",","SPECTRO XR [激光点跟踪器],","    ""SPECTRO XR激光光斑跟踪器"",","SPECTRO?XR[激光光斑跟踪器],   "
"    ""SPICE 1000 GPS/EO [Mk83] (Israel, 2005)"",","SPICE 1000 GPS/EO [Mk83] (以色列, 2005),","    ""SPICE 1000 GPS/EO Mk83（以色列，2005年）"",","SPICE?1000?GPS/EO?[Mk83](以色列，2005),   "
"    ""SPICE 2000 GPS/EO [Mk84] (Israel, 2003)"",","SPICE 2000 GPS/EO [Mk84]（以色列，2003 年）,","    ""SPICE 2000 GPS/EO Mk84（以色列，2003年）"",","SPICE?2000?GPS/EO?[Mk84](以色列，2003),   "
"    ""SPICE 250 GPS/EO (Israel, 2015)"",","SPICE 250 GPS/EO (以色列, 2015),","    ""SPICE 250 GPS/EO（以色列，2015年）"",","SPICE?250?GPS/EO(以色列，2015),   "
"    ""SPJ-20 (Israel, ASPS Suite)"",","SPJ-20（以色列，ASPS 套件）,","    ""SPJ-20（以色列，ASPS套房）"",","SPJ-20(以色列，ASPS套件),   "
"    ""SPJ-40 (Israel, ASPS Suite)"",","SPJ-40（以色列，ASPS 套件）,","    ""SPJ-40（以色列，ASPS套房）"",","SPJ-40(以色列，ASPS套件),   "
"    ""SPK-39 Pod [EO] "",","SPK-39 Pod [EO],","    ""SPK-39吊舱EO"",","SPK-39?Pod?[EO],   "
"    ""SPO-1 Sirena-1"",","SPO-1 Sirena-1,","    ""SPO-1海妖-1"",","SPO-1?Sirena-1,   "
"    ""SPO-10 Sirena-3M"",","SPO-10 Sirena-3M,","    ""SPO-10海妖-3M"",","SPO-10?Sirena-3M,   "
"    ""SPO-15 Beryoza [L-006]"",","SPO-15 Beryoza [L-006],","    ""SPO-15 Beryoza L-006"",","SPO-15?Beryoza?(l?-?006),   "
"    ""SPO-15L Beryoza"",","SPO-15L Beryoza,","    ""SPO-15L贝约扎"",","SPO-15L?Beryoza,   "
"    ""SPO-15LM Beryoza"",","SPO-15LM Beryoza,","    ""SPO-15LM贝约扎"",","SPO-15LM?Beryoza,   "
"    ""SPO-15M Beryoza [L-006]"",","SPO-15M Beryoza [L-006],","    ""SPO-15M Beryoza L-006"",","SPO-15M?Beryoza?(l?-?006),   "
"    ""SPO-2 Sirena-2"",","SPO-2 Sirena-2,","    ""SPO-2海妖-2"",","SPO-2?Sirena-2,   "
"    ""SPO-23"",","SPO-23,","    ""SPO-23"",","SPO-23,   "
"    ""SPO-29 Pastel [L-150]"",","SPO-29 粉彩 [L-150],","    ""SPO-29粉彩L-150"",","SPO-29淡(l?-?150),   "
"    ""SPO-3 Sirena-3"",","SPO-3 Sirena-3,","    ""SPO-3海妖-3"",","SPO-3?Sirena-3,   "
"    ""SPO-32 Pastel [L-150]"",","SPO-32 粉彩 [L-150],","    ""SPO-32粉彩L-150"",","SPO-32淡(l?-?150),   "
"    ""SPS 1000"",","SPS 1000,","    ""SPS 1000"",","SPS?1000,   "
"    ""SPS 1200"",","SPS 1200,","    ""SPS 1200"",","SPS?1200,   "
"    ""SPS 20 (SPS 65 Suite, SRS 25, Assoc w LWS-20)"",","SPS 20 (SPS 65 Suite, SRS 25, Assoc w LWS-20),","    ""SPS 20（SPS 65套件，SRS 25，与LWS-20相关）"",","SPS?20?(SPS?65套件，SRS?25,?Assoc?w?LWS-20),   "
"    ""SPS 200"",","SPS 200,","    ""SPS 200"",","SPS?200,   "
"    ""SPS 2000"",","SPS 2000,","    ""SPS 2000"",","SPS?2000,   "
"    ""SPS 2100 [ECM]"",","SPS 2100 [ECM],","    ""SPS 2100发动机控制模块"",","SPS?2100?(ECM),   "
"    ""SPS 2100 [RWR]"",","SPS 2100 [RWR],","    ""SPS 2100 RWR"",","2100年SPS?(RWR),   "
"    ""SPS 3000 (ASPS Suite)"",","SPS 3000 (ASPS 套件),","    ""SPS 3000（ASPS套件）"",","ssps?3000?(ASPS套件),   "
"    ""SPS-1 (Tu-16, Single Antenna)"",","SPS-1（Tu-16，单天线）,","    ""SPS-1（Tu-16，单天线）"",","SPS-1?(Tu-16，单天线),   "
"    ""SPS-100 Rezeda (Tu-126)"",","SPS-100 Rezeda (Tu-126),","    ""SPS-100雷泽达（Tu-126）"",","sps?-?100?Rezeda?(tu?-?126),   "
"    ""SPS-1000"",","SPS-1000,","    ""SPS-1000"",","sps?-?1000,   "
"    ""SPS-100A Rezeda (Tu-16, Soviet, High-Power noise)"",","SPS-100A Rezeda（Tu-16，苏联，高功率噪音）,","    ""SPS-100A Rezeda（Tu-16，苏联，高功率噪音）"",","sp?-?100a?Rezeda(图-16，苏联，大功率噪声),   "
"    ""SPS-100M Rezeda (Tu-16, Soviet, High-Power noise)"",","SPS-100M Rezeda（Tu-16，苏联，高功率噪音）,","    ""SPS-100M雷泽达（Tu-16，苏联，高功率噪音）"",","sp?-?100m?Rezeda(图-16，苏联，大功率噪声),   "
"    ""SPS-141/142/143 Gvozdika"",","SPS-141/142/143 Gvozdika,","    ""SPS-141/142/143 Gvozdika"",","SPS-141/142/143?Gvozdika,   "
"    ""SPS-141/142/143 Siren (An-12, Tu-95K-22)"",","SPS-141/142/143 警报器 (An-12, Tu-95K-22),","    ""SPS-141/142/143警报器（An-12，Tu-95K-22）"",","SPS-141/142/143?Siren?(An-12,?Tu-95K-22),   "
"    ""SPS-141M Siren (Internal, Anti-HAWK, MiG-23, -25, -27)"",","SPS-141M 警报器（内置，反 HAWK，MiG-23，-25，-27）,","    ""SPS-141M警报器（内部、反鹰、米格-23、-25、-27）"",","SPS-141M警报器(内部，反鹰，米格23，-25，-27),   "
"    ""SPS-141M Siren (Pod, Anti-HAWK, MiG-21 and Su-7)"",","SPS-141M Siren (Pod, Anti-HAWK, MiG-21 and Su-7),","    ""SPS-141M警报器（吊舱、反鹰、米格-21和苏-7）"",","SPS-141M警报器(吊舱、反鹰、米格-21和苏-7),   "
"    ""SPS-141M Siren DECM Pod "",","SPS-141M 警报器 DECM Pod,","    ""SPS-141M警报器DECM吊舱"",","SPS-141M?Siren?DECM?Pod,   "
"    ""SPS-141MVG Gvozdika (Pod)"",","SPS-141MVG Gvozdika (Pod),","    ""SPS-141MVG Gvozdika（吊舱）"",","sps?-?141?mvg?Gvozdika?(Pod),   "
"    ""SPS-141MVG Gvozdika DECM Pod "",","SPS-141MVG Gvozdika DECM Pod,","    ""SPS-141MVG Gvozdika DECM吊舱"",","SPS-141MVG?Gvozdika?DECM?Pod,   "
"    ""SPS-141MVG-E Gvozdika (Pod, Export)"",","SPS-141MVG-E Gvozdika (Pod, 出口),","    ""SPS-141MVG-E Gvozdika（吊舱，出口）"",","SPS-141MVG-E?Gvozdika?(Pod,?Export),   "
"    ""SPS-141MVG-E Gvozdika DECM Pod (Export)"",","SPS-141MVG-E Gvozdika DECM Pod（出口）,","    ""SPS-141MVG-E Gvozdika DECM吊舱（出口）"",","SPS-141MVG-E?Gvozdika?DECM?Pod(出口),   "
"    ""SPS-151/152 (MiG-25RB)"",","SPS-151/152 (MiG-25RB),","    ""SPS-151/152（MiG-25RB）"",","SPS-151/152?(MiG-25RB),   "
"    ""SPS-151/152/153 Lyutik (MiG-25BM)"",","SPS-151/152/153 Lyutik (MiG-25BM),","    ""SPS-151/152/153 Lyutik（米格-25BM）"",","SPS-151/152/153?Lyutik?(MiG-25BM),   "
"    ""SPS-151/152/153 Lyutik (Tu-16)"",","SPS-151/152/153 Lyutik (Tu-16),","    ""SPS-151/152/153 Lyutik（图16）"",","SPS-151/152/153?Lyutik?(Tu-16),   "
"    ""SPS-151/152/153 Lyutik (Tu-22)"",","SPS-151/152/153 Lyutik (Tu-22),","    ""SPS-151/152/153 Lyutik（图22）"",","SPS-151/152/153?Lyutik?(Tu-22),   "
"    ""SPS-153 Rezeda (Tu-95K-22)"",","SPS-153 瑞泽达 (Tu-95K-22),","    ""SPS-153雷泽达（Tu-95K-22）"",","sps?-?153?Rezeda?(tu?-?95?-?k?-?22),   "
"    ""SPS-160 Geran (Tu-95MS)"",","SPS-160 Geran (Tu-95MS),","    ""SPS-160 Geran（Tu-95MS）"",","sps?-?160?Geran?(tu?-?95?-?ms),   "
"    ""SPS-161 Geran [L-101] (Su-24)"",","SPS-161 Geran [L-101] (Su-24),","    ""SPS-161 Geran L-101（Su-24）"",","sp?-161?Geran?[L-101]?(Su-24),   "
"    ""SPS-162 Geran-F [L-102] (Su-24M, BKO-2 Karpaty EW Suite)"",","SPS-162 Geran-F [L-102] (Su-24M, BKO-2 Karpaty EW Suite),","    ""SPS-162 Geran-F L-102（Su-24M，BKO-2卡尔帕蒂电子战套件）"",","sp?-162?Geran-F?[L-102]?(Su-24M,?BKO-2卡帕提EW套件),   "
"    ""SPS-171/172 Sorbtsiya [L-005]"",","SPS-171/172 Sorbtsiya [L-005],","    ""SPS-171/172 Sorbtsiya L-005"",","SPS-171/172?Sorbtsiya?(l?-?005),   "
"    ""SPS-2 (Soviet, 300 Watt, Mid Band)"",","SPS-2（苏联，300 瓦，中频）,","    ""SPS-2（苏联，300瓦，中频）"",","SPS-2(苏联，300瓦特，中波段),   "
"    ""SPS-2000"",","SPS-2000,","    ""SPS-2000"",","sps?-?2000,   "
"    ""SPS-22-2X/33-2X/44-2X/55-2X Buket [ESM] (Yak-28PP)"",","SPS-22-2X/33-2X/44-2X/55-2X Buket [ESM] (Yak-28PP),","    ""SPS-22-2X/33-2X/44-2X/55-2X Buket ESM（Yak-28PP）"",","SPS-22-2X?/?33-2X?/?44-2X?55-2X水桶(ESM)?(Yak-28PP),   "
"    ""SPS-22-2X/33-2X/44-2X/55-2X Buket [OECM] (Yak-28PP)"",","SPS-22-2X/33-2X/44-2X/55-2X Buket [OECM] (Yak-28PP),","    ""SPS-22-2X/33-2X/44-2X/55-2X Buket OECM（Yak-28PP）"",","SPS-22-2X/33-2X/44-2X/55-2X?Buket?[OECM]?(Yak-28PP),   "
"    ""SPS-22/33/44/55 Buket [ESM] (Mi-10PP)"",","SPS-22/33/44/55 Buket [ESM] (Mi-10PP),","    ""SPS-22/33/44/55 Buket ESM（Mi-10PP）"",","SPS-22/33/44/55?Buket?[ESM]?(Mi-10PP),   "
"    ""SPS-22/33/44/55 Buket [ESM] (Su-24MP, An-12PP)"",","SPS-22/33/44/55 Buket [ESM] (Su-24MP, An-12PP),","    ""SPS-22/33/44/55 Buket ESM（Su-24MP，An-12PP）"",","SPS-22/33/44/55?Buket?[ESM]?(Su-24MP,?An-12PP),   "
"    ""SPS-22/33/44/55 Buket [OECM] (Mi-10PP)"",","SPS-22/33/44/55 Buket [OECM] (Mi-10PP),","    ""SPS-22/33/44/55 Buket OECM（Mi-10PP）"",","SPS-22/33/44/55?Buket?[OECM]?(Mi-10PP),   "
"    ""SPS-22/33/44/55 Buket [OECM] (Su-24MP, An-12PP)"",","SPS-22/33/44/55 Buket [OECM] (Su-24MP, An-12PP),","    ""SPS-22/33/44/55 Buket OECM（Su-24MP，An-12PP）"",","SPS-22/33/44/55?Buket?[OECM]?(Su-24MP,?An-12PP),   "
